step,phase,e_loss,s_loss,g_loss,d_loss
100,embedding,0.007235,,,
200,embedding,0.001753,,,
300,embedding,0.000391,,,
400,embedding,0.000183,,,
500,embedding,8.7e-05,,,
600,embedding,6.7e-05,,,
700,embedding,4.9e-05,,,
800,embedding,4.2e-05,,,
900,embedding,3.3e-05,,,
1000,embedding,1.9e-05,,,
1100,embedding,2.3e-05,,,
1200,embedding,9e-06,,,
1300,embedding,7e-06,,,
1400,embedding,2.6e-05,,,
1500,embedding,5e-06,,,
1600,embedding,5e-06,,,
1700,embedding,2e-06,,,
1800,embedding,1e-06,,,
1900,embedding,6e-06,,,
2000,embedding,1.4e-05,,,
2100,embedding,7.4e-05,,,
2200,embedding,1e-06,,,
2300,embedding,2.2e-05,,,
2400,embedding,2e-06,,,
2500,embedding,1e-06,,,
2600,embedding,1e-06,,,
2700,embedding,1e-06,,,
2800,embedding,5e-05,,,
2900,embedding,1e-06,,,
3000,embedding,1e-06,,,
3100,embedding,9e-06,,,
3200,embedding,2e-06,,,
3300,embedding,1e-06,,,
3400,embedding,3e-06,,,
3500,embedding,7e-06,,,
3600,embedding,1.3e-05,,,
3700,embedding,1e-06,,,
3800,embedding,4e-06,,,
3900,embedding,4e-06,,,
4000,embedding,1.3e-05,,,
4100,embedding,6e-06,,,
4200,embedding,1e-06,,,
4300,embedding,3e-06,,,
4400,embedding,1.1e-05,,,
4500,embedding,1e-06,,,
4600,embedding,1e-06,,,
4700,embedding,8e-06,,,
4800,embedding,7.6e-05,,,
4900,embedding,2e-06,,,
5000,embedding,5e-06,,,
100,supervised,,0.000946,,
200,supervised,,0.000177,,
300,supervised,,0.000122,,
400,supervised,,9.8e-05,,
500,supervised,,8.7e-05,,
600,supervised,,9.5e-05,,
700,supervised,,8.2e-05,,
800,supervised,,8.1e-05,,
900,supervised,,8.3e-05,,
1000,supervised,,7.9e-05,,
1100,supervised,,7.9e-05,,
1200,supervised,,7.5e-05,,
1300,supervised,,7.7e-05,,
1400,supervised,,7.5e-05,,
1500,supervised,,7.6e-05,,
1600,supervised,,7.7e-05,,
1700,supervised,,7.6e-05,,
1800,supervised,,7.7e-05,,
1900,supervised,,7.3e-05,,
2000,supervised,,7.1e-05,,
2100,supervised,,7e-05,,
2200,supervised,,7.5e-05,,
2300,supervised,,7.3e-05,,
2400,supervised,,7.6e-05,,
2500,supervised,,7.3e-05,,
2600,supervised,,7.6e-05,,
2700,supervised,,7.7e-05,,
2800,supervised,,6.7e-05,,
2900,supervised,,7.5e-05,,
3000,supervised,,7.2e-05,,
3100,supervised,,7.2e-05,,
3200,supervised,,7.2e-05,,
3300,supervised,,7.1e-05,,
3400,supervised,,7.2e-05,,
3500,supervised,,6.8e-05,,
3600,supervised,,7.2e-05,,
3700,supervised,,7.7e-05,,
3800,supervised,,7.5e-05,,
3900,supervised,,7.4e-05,,
4000,supervised,,7.2e-05,,
4100,supervised,,7.2e-05,,
4200,supervised,,7.8e-05,,
4300,supervised,,7.2e-05,,
4400,supervised,,7.2e-05,,
4500,supervised,,7.4e-05,,
4600,supervised,,7.3e-05,,
4700,supervised,,6.8e-05,,
4800,supervised,,7.5e-05,,
4900,supervised,,7.5e-05,,
5000,supervised,,7.2e-05,,
100,joint,0.090097,6.2e-05,10.083785,1.928408
200,joint,0.025642,1e-06,10.733374,1.899672
300,joint,0.110771,9.4e-05,14.155742,2.074667
400,joint,0.018863,1e-06,11.080845,1.8051
500,joint,0.021761,2e-06,11.110419,1.90728
600,joint,0.052157,2e-05,10.390787,1.915443
700,joint,0.043651,1.2e-05,10.763315,1.930839
800,joint,0.014405,1e-06,11.677124,1.899848
900,joint,0.018934,1e-06,11.912228,1.829676
1000,joint,0.049659,1.1e-05,10.074846,1.885774
1100,joint,0.014033,1e-06,12.276039,1.786431
1200,joint,0.012855,0.0,10.8766,1.916157
1300,joint,0.01026,0.0,10.99039,1.912531
1400,joint,0.011002,0.0,11.509783,1.911289
1500,joint,0.008856,0.0,10.61086,1.910921
1600,joint,0.010199,0.0,11.766994,1.87137
1700,joint,0.008863,0.0,12.236168,1.911923
1800,joint,0.008747,0.0,10.54722,1.909151
1900,joint,0.011056,0.0,10.927614,1.924348
2000,joint,0.098243,6.3e-05,10.406116,2.071886
2100,joint,0.317375,0.001014,14.090165,1.504875
2200,joint,0.074926,3.9e-05,11.792459,1.627493
2300,joint,1.161427,0.01729,11.001102,2.044112
2400,joint,0.024751,3e-06,11.320315,2.051906
2500,joint,0.039458,9e-06,10.772488,1.902909
2600,joint,0.056501,1.2e-05,10.951956,1.901902
2700,joint,0.120988,0.000198,11.816485,1.931433
2800,joint,0.029547,4e-06,10.445438,1.912355
2900,joint,0.131136,0.00015,11.038191,1.877517
3000,joint,0.134167,8.7e-05,11.072678,1.936072
3100,joint,0.072217,3.2e-05,12.902474,1.350271
3200,joint,0.040206,1.1e-05,11.030804,1.356088
3300,joint,0.113726,0.000104,12.619183,1.231136
3400,joint,0.080375,5.5e-05,13.252789,4.423511
3500,joint,0.028811,5e-06,12.65301,1.871221
3600,joint,0.016321,1e-06,10.965665,1.720637
3700,joint,0.044741,6e-06,12.150263,2.001556
3800,joint,0.084902,6.1e-05,11.00262,1.792778
3900,joint,0.015987,1e-06,10.719106,1.917457
4000,joint,0.021034,2e-06,11.092458,1.8982
4100,joint,0.014342,1e-06,10.538913,1.863291
4200,joint,0.041808,3e-06,12.256453,1.875779
4300,joint,0.039086,9e-06,11.529689,1.910304
4400,joint,0.012049,0.0,10.369305,1.918009
4500,joint,0.009409,0.0,12.159708,1.915313
4600,joint,0.010014,0.0,11.398967,1.913548
4700,joint,0.008751,0.0,11.105619,1.912107
4800,joint,0.008712,0.0,11.232112,1.911633
4900,joint,0.009937,0.0,10.548079,1.911285
5000,joint,0.00867,0.0,11.404984,1.911012
5100,joint,0.009259,0.0,10.698152,1.910789
5200,joint,0.009513,0.0,10.458119,1.910603
5300,joint,0.009234,0.0,11.055394,1.910443
5400,joint,0.008089,0.0,11.615923,1.910303
5500,joint,0.007972,0.0,10.578279,1.910177
5600,joint,0.007642,0.0,9.991632,1.910059
5700,joint,0.008132,0.0,10.478907,1.909934
5800,joint,0.014911,0.0,9.6006,1.898781
5900,joint,0.208299,0.000447,13.196329,1.640357
6000,joint,0.026419,3e-06,13.749491,1.406568
6100,joint,0.020145,2e-06,13.490131,1.396234
6200,joint,0.02694,3e-06,13.431445,1.395522
6300,joint,0.036425,9e-06,10.645617,1.850316
6400,joint,0.157198,0.00021,10.86401,1.96031
6500,joint,0.134326,0.000171,13.019789,1.511941
6600,joint,0.014798,1e-06,13.505993,1.419016
6700,joint,0.011527,0.0,12.480562,1.464151
6800,joint,0.010809,0.0,11.289125,1.915102
6900,joint,0.00931,0.0,11.075914,1.910403
7000,joint,0.010186,0.0,11.388888,1.910777
7100,joint,0.019757,2e-06,10.298746,1.877731
7200,joint,0.055099,1.1e-05,10.956064,1.855478
7300,joint,0.038694,9e-06,14.234716,1.369222
7400,joint,0.029567,6e-06,12.549672,1.700257
7500,joint,0.02313,2e-06,12.838133,1.410923
7600,joint,0.293627,0.000835,14.696908,1.564188
7700,joint,0.046555,1.4e-05,12.564561,1.501847
7800,joint,0.034738,5e-06,13.901237,1.425596
7900,joint,0.090915,7.1e-05,11.226233,1.698968
8000,joint,0.090804,7.1e-05,15.59336,1.394489
8100,joint,0.100198,8.8e-05,13.235467,1.316648
8200,joint,0.039682,1e-05,14.12616,1.389271
8300,joint,0.15555,0.000154,13.870669,1.402053
8400,joint,0.034965,7e-06,13.386007,1.432285
8500,joint,0.059602,1.2e-05,13.320658,1.431972
8600,joint,0.129466,0.000149,10.679491,1.926434
8700,joint,0.035828,8e-06,12.914427,1.460905
8800,joint,0.027751,4e-06,14.46079,1.431837
8900,joint,0.019779,1e-06,14.411875,1.429423
9000,joint,0.029807,3e-06,14.863596,1.411132
9100,joint,0.030454,5e-06,15.577285,1.405286
9200,joint,0.05532,2.2e-05,15.677683,1.402626
9300,joint,0.015412,1e-06,15.287582,1.400513
9400,joint,0.012538,0.0,10.982117,1.895024
9500,joint,0.010922,0.0,10.275299,1.795297
9600,joint,0.010623,0.0,11.971201,1.917131
9700,joint,0.010279,0.0,11.052298,1.912406
9800,joint,0.009852,0.0,10.720303,1.908473
9900,joint,0.009337,0.0,10.509308,1.907661
10000,joint,0.062209,2.3e-05,10.492353,1.9072
