step,phase,e_loss,s_loss,g_loss,d_loss
100,embedding,0.009241,,,
200,embedding,0.001665,,,
300,embedding,0.000429,,,
400,embedding,0.000164,,,
500,embedding,9.9e-05,,,
600,embedding,8.6e-05,,,
700,embedding,4.8e-05,,,
800,embedding,4.9e-05,,,
900,embedding,2.8e-05,,,
1000,embedding,2.5e-05,,,
1100,embedding,2.6e-05,,,
1200,embedding,1.1e-05,,,
1300,embedding,7e-06,,,
1400,embedding,8e-06,,,
1500,embedding,3e-06,,,
1600,embedding,7e-06,,,
1700,embedding,2e-06,,,
1800,embedding,2.2e-05,,,
1900,embedding,5e-06,,,
2000,embedding,5e-06,,,
2100,embedding,2e-06,,,
2200,embedding,6e-06,,,
2300,embedding,2e-06,,,
2400,embedding,3e-06,,,
2500,embedding,1e-06,,,
2600,embedding,7e-06,,,
2700,embedding,2e-06,,,
2800,embedding,9e-06,,,
2900,embedding,1e-06,,,
3000,embedding,4e-06,,,
3100,embedding,1e-06,,,
3200,embedding,1e-06,,,
3300,embedding,1e-06,,,
3400,embedding,1e-06,,,
3500,embedding,1e-06,,,
3600,embedding,1e-06,,,
3700,embedding,4.8e-05,,,
3800,embedding,6e-06,,,
3900,embedding,1e-06,,,
4000,embedding,1e-06,,,
4100,embedding,1e-06,,,
4200,embedding,2e-06,,,
4300,embedding,1e-06,,,
4400,embedding,2e-06,,,
4500,embedding,1e-06,,,
4600,embedding,1.1e-05,,,
4700,embedding,1e-06,,,
4800,embedding,2e-06,,,
4900,embedding,7e-06,,,
5000,embedding,2.1e-05,,,
100,supervised,,0.000164,,
200,supervised,,9.8e-05,,
300,supervised,,8.5e-05,,
400,supervised,,7.5e-05,,
500,supervised,,6.4e-05,,
600,supervised,,5.8e-05,,
700,supervised,,5.5e-05,,
800,supervised,,5.3e-05,,
900,supervised,,5.2e-05,,
1000,supervised,,5.3e-05,,
1100,supervised,,5.4e-05,,
1200,supervised,,5e-05,,
1300,supervised,,5e-05,,
1400,supervised,,5.3e-05,,
1500,supervised,,5.2e-05,,
1600,supervised,,5e-05,,
1700,supervised,,4.7e-05,,
1800,supervised,,5.1e-05,,
1900,supervised,,4.9e-05,,
2000,supervised,,5.1e-05,,
2100,supervised,,5.2e-05,,
2200,supervised,,4.9e-05,,
2300,supervised,,5.3e-05,,
2400,supervised,,4.9e-05,,
2500,supervised,,4.7e-05,,
2600,supervised,,4.7e-05,,
2700,supervised,,4.9e-05,,
2800,supervised,,4.9e-05,,
2900,supervised,,5.3e-05,,
3000,supervised,,5.1e-05,,
3100,supervised,,4.9e-05,,
3200,supervised,,4.9e-05,,
3300,supervised,,5.1e-05,,
3400,supervised,,5e-05,,
3500,supervised,,5.1e-05,,
3600,supervised,,4.9e-05,,
3700,supervised,,5e-05,,
3800,supervised,,4.6e-05,,
3900,supervised,,5.1e-05,,
4000,supervised,,4.9e-05,,
4100,supervised,,5.1e-05,,
4200,supervised,,4.9e-05,,
4300,supervised,,5.2e-05,,
4400,supervised,,4.9e-05,,
4500,supervised,,5.1e-05,,
4600,supervised,,5e-05,,
4700,supervised,,4.9e-05,,
4800,supervised,,4.9e-05,,
4900,supervised,,5e-05,,
5000,supervised,,4.9e-05,,
100,joint,0.027413,4e-06,11.59509,1.582761
200,joint,0.010474,0.0,15.032723,2.952351
300,joint,0.00922,0.0,11.036479,1.910489
400,joint,0.008024,0.0,11.452518,1.910373
500,joint,0.007043,0.0,11.129286,1.910294
600,joint,0.008452,0.0,11.550976,1.910215
700,joint,0.009437,0.0,10.834622,1.910134
800,joint,0.007416,0.0,10.727614,1.91005
900,joint,0.009639,0.0,10.558573,1.909961
1000,joint,0.007019,0.0,10.333832,1.909863
1100,joint,0.010647,0.0,9.975132,1.909718
1200,joint,0.006981,0.0,11.813068,1.900978
1300,joint,0.008263,0.0,11.453219,1.561474
1400,joint,0.051553,3e-06,10.602351,1.861503
1500,joint,0.053777,2.6e-05,13.528359,1.434728
1600,joint,0.009286,0.0,13.489836,1.407374
1700,joint,0.011668,0.0,13.036005,1.350923
1800,joint,0.017344,1e-06,12.021408,1.714386
1900,joint,0.045604,1.3e-05,12.877594,1.311681
2000,joint,0.009352,0.0,12.098437,1.454578
2100,joint,0.008828,0.0,12.580303,1.417259
2200,joint,0.014055,1e-06,11.182932,2.046993
2300,joint,0.015028,1e-06,10.327223,1.650498
2400,joint,0.01068,0.0,10.267543,1.906052
2500,joint,0.010292,0.0,11.213561,1.891279
