step,phase,e_loss,s_loss,g_loss,d_loss
100,embedding,0.008351,,,
200,embedding,0.008123,,,
300,embedding,0.000852,,,
400,embedding,0.000213,,,
500,embedding,0.000103,,,
600,embedding,7.7e-05,,,
700,embedding,5.6e-05,,,
800,embedding,6.3e-05,,,
900,embedding,3.3e-05,,,
1000,embedding,2.1e-05,,,
1100,embedding,1.5e-05,,,
1200,embedding,1.1e-05,,,
1300,embedding,1e-05,,,
1400,embedding,1.7e-05,,,
1500,embedding,4e-06,,,
1600,embedding,5e-06,,,
1700,embedding,4e-06,,,
1800,embedding,4e-06,,,
1900,embedding,4e-06,,,
2000,embedding,5e-06,,,
2100,embedding,1e-06,,,
2200,embedding,1e-06,,,
2300,embedding,1e-06,,,
2400,embedding,2e-06,,,
2500,embedding,3.1e-05,,,
2600,embedding,8e-06,,,
2700,embedding,1.4e-05,,,
2800,embedding,3e-06,,,
2900,embedding,6e-06,,,
3000,embedding,2e-06,,,
3100,embedding,1e-06,,,
3200,embedding,7e-06,,,
3300,embedding,3e-06,,,
3400,embedding,2e-06,,,
3500,embedding,5e-06,,,
3600,embedding,6e-06,,,
3700,embedding,2e-06,,,
3800,embedding,2e-06,,,
3900,embedding,7e-06,,,
4000,embedding,6e-06,,,
4100,embedding,1e-06,,,
4200,embedding,1e-06,,,
4300,embedding,2e-06,,,
4400,embedding,2e-06,,,
4500,embedding,2.6e-05,,,
4600,embedding,1.9e-05,,,
4700,embedding,9e-06,,,
4800,embedding,1.4e-05,,,
4900,embedding,4e-06,,,
5000,embedding,1e-06,,,
100,supervised,,0.002093,,
200,supervised,,0.000165,,
300,supervised,,9.6e-05,,
400,supervised,,9.1e-05,,
500,supervised,,7.7e-05,,
600,supervised,,6.8e-05,,
700,supervised,,5.9e-05,,
800,supervised,,5.5e-05,,
900,supervised,,5.8e-05,,
1000,supervised,,5.1e-05,,
1100,supervised,,4.9e-05,,
1200,supervised,,5e-05,,
1300,supervised,,4.7e-05,,
1400,supervised,,4.4e-05,,
1500,supervised,,4.7e-05,,
1600,supervised,,4.5e-05,,
1700,supervised,,4.3e-05,,
1800,supervised,,4e-05,,
1900,supervised,,4e-05,,
2000,supervised,,4.3e-05,,
2100,supervised,,3.9e-05,,
2200,supervised,,4.2e-05,,
2300,supervised,,4.1e-05,,
2400,supervised,,4e-05,,
2500,supervised,,4e-05,,
2600,supervised,,4.1e-05,,
2700,supervised,,4.1e-05,,
2800,supervised,,3.7e-05,,
2900,supervised,,4.1e-05,,
3000,supervised,,3.9e-05,,
3100,supervised,,3.9e-05,,
3200,supervised,,4.1e-05,,
3300,supervised,,3.9e-05,,
3400,supervised,,3.9e-05,,
3500,supervised,,3.8e-05,,
3600,supervised,,3.9e-05,,
3700,supervised,,4e-05,,
3800,supervised,,3.7e-05,,
3900,supervised,,3.8e-05,,
4000,supervised,,4.1e-05,,
4100,supervised,,3.9e-05,,
4200,supervised,,3.7e-05,,
4300,supervised,,4e-05,,
4400,supervised,,3.7e-05,,
4500,supervised,,4e-05,,
4600,supervised,,3.6e-05,,
4700,supervised,,3.9e-05,,
4800,supervised,,3.9e-05,,
4900,supervised,,4e-05,,
5000,supervised,,3.9e-05,,
100,joint,0.020105,1e-06,13.060511,1.469966
200,joint,0.014921,1e-06,10.47264,1.916591
300,joint,0.008001,0.0,11.949366,1.907342
400,joint,0.010114,0.0,11.607569,1.906774
500,joint,0.008315,0.0,10.574471,1.907696
600,joint,0.009127,0.0,11.658327,1.905615
700,joint,0.00849,0.0,10.402196,1.858016
800,joint,0.011006,0.0,11.421453,1.820149
