step,phase,e_loss,s_loss,g_loss,d_loss
100,embedding,0.008585,,,
200,embedding,0.006303,,,
300,embedding,0.000412,,,
400,embedding,0.000116,,,
500,embedding,6.9e-05,,,
600,embedding,4.7e-05,,,
700,embedding,4.1e-05,,,
800,embedding,2.3e-05,,,
900,embedding,1.3e-05,,,
1000,embedding,9e-06,,,
1100,embedding,6e-06,,,
1200,embedding,6e-06,,,
1300,embedding,3e-06,,,
1400,embedding,2e-06,,,
1500,embedding,2e-06,,,
1600,embedding,5e-06,,,
1700,embedding,3e-06,,,
1800,embedding,1.1e-05,,,
1900,embedding,1e-05,,,
2000,embedding,2e-06,,,
2100,embedding,1e-05,,,
2200,embedding,6e-06,,,
2300,embedding,2e-06,,,
2400,embedding,1e-06,,,
2500,embedding,5e-06,,,
2600,embedding,6e-06,,,
2700,embedding,1e-06,,,
2800,embedding,3e-06,,,
2900,embedding,5e-06,,,
3000,embedding,1e-06,,,
3100,embedding,1e-06,,,
3200,embedding,1e-06,,,
3300,embedding,1e-06,,,
3400,embedding,2e-06,,,
3500,embedding,1e-06,,,
3600,embedding,4e-06,,,
3700,embedding,2e-06,,,
3800,embedding,8e-06,,,
3900,embedding,1e-06,,,
4000,embedding,1.1e-05,,,
4100,embedding,5e-06,,,
4200,embedding,1.2e-05,,,
4300,embedding,1.1e-05,,,
4400,embedding,9e-06,,,
4500,embedding,1e-06,,,
4600,embedding,5e-06,,,
4700,embedding,2e-06,,,
4800,embedding,1.2e-05,,,
4900,embedding,5e-06,,,
5000,embedding,2e-06,,,
100,supervised,,0.000419,,
200,supervised,,0.000116,,
300,supervised,,0.000124,,
400,supervised,,9.1e-05,,
500,supervised,,8.2e-05,,
600,supervised,,7.4e-05,,
700,supervised,,7.2e-05,,
800,supervised,,6.5e-05,,
900,supervised,,6.5e-05,,
1000,supervised,,5.8e-05,,
1100,supervised,,5.7e-05,,
1200,supervised,,5.1e-05,,
1300,supervised,,5.5e-05,,
1400,supervised,,5.3e-05,,
1500,supervised,,5.2e-05,,
1600,supervised,,5.1e-05,,
1700,supervised,,4.9e-05,,
1800,supervised,,5.5e-05,,
1900,supervised,,5.1e-05,,
2000,supervised,,5.1e-05,,
2100,supervised,,5.3e-05,,
2200,supervised,,4.9e-05,,
2300,supervised,,4.9e-05,,
2400,supervised,,5e-05,,
2500,supervised,,5.3e-05,,
2600,supervised,,5.1e-05,,
2700,supervised,,5.1e-05,,
2800,supervised,,5.2e-05,,
2900,supervised,,5.1e-05,,
3000,supervised,,5e-05,,
3100,supervised,,5e-05,,
3200,supervised,,5.1e-05,,
3300,supervised,,4.6e-05,,
3400,supervised,,4.9e-05,,
3500,supervised,,4.8e-05,,
3600,supervised,,4.9e-05,,
3700,supervised,,5.1e-05,,
3800,supervised,,5.2e-05,,
3900,supervised,,5e-05,,
4000,supervised,,5.2e-05,,
4100,supervised,,4.9e-05,,
4200,supervised,,5.2e-05,,
4300,supervised,,4.9e-05,,
4400,supervised,,5e-05,,
4500,supervised,,5e-05,,
4600,supervised,,4.8e-05,,
4700,supervised,,5e-05,,
4800,supervised,,4.7e-05,,
4900,supervised,,5.1e-05,,
5000,supervised,,4.7e-05,,
100,joint,0.023655,3e-06,9.553148,2.384256
200,joint,0.010201,0.0,11.801665,1.636263
300,joint,0.017486,1e-06,11.118877,1.916457
400,joint,0.011405,0.0,12.867182,1.906376
500,joint,0.009064,0.0,11.636824,1.904965
600,joint,0.007557,0.0,11.251373,1.904609
700,joint,0.00852,0.0,11.537653,1.904629
800,joint,0.007095,0.0,10.602715,1.819041
900,joint,0.021653,0.0,11.212614,1.901088
1000,joint,0.074014,2.9e-05,11.165329,1.879068
1100,joint,0.022242,2e-06,14.433866,1.420323
1200,joint,0.191174,0.000264,14.186167,1.542925
1300,joint,0.051693,2.1e-05,13.062384,1.398167
1400,joint,0.08877,0.000115,13.961668,1.630155
1500,joint,0.140339,0.000176,15.092657,1.437671
1600,joint,0.099878,7e-05,14.548956,1.409829
1700,joint,0.057759,2.5e-05,11.939214,1.786808
1800,joint,0.022795,2e-06,10.762341,1.789495
1900,joint,0.058502,2.5e-05,10.489421,1.789542
2000,joint,0.038411,9e-06,11.127952,1.89151
2100,joint,0.036328,8e-06,11.127387,1.909743
2200,joint,0.101454,9.6e-05,11.52412,1.974329
2300,joint,0.041157,1.1e-05,10.844073,1.915696
2400,joint,0.026954,4e-06,11.469385,1.900433
2500,joint,0.037692,9e-06,10.461611,1.971196
2600,joint,0.014589,1e-06,10.590807,1.917057
2700,joint,0.01144,0.0,10.519829,1.909793
2800,joint,0.023399,2e-06,11.366523,1.671565
2900,joint,0.058419,1.7e-05,11.548662,1.974661
3000,joint,0.060431,2.8e-05,13.159229,1.37034
3100,joint,0.09775,7.6e-05,11.678114,1.915341
3200,joint,0.056741,2.5e-05,9.971189,1.913822
3300,joint,0.05878,2.4e-05,9.778932,1.840651
3400,joint,0.045458,1.3e-05,11.207071,1.917616
3500,joint,0.027659,4e-06,11.338188,1.916663
3600,joint,0.022871,2e-06,10.446687,1.913705
3700,joint,0.021928,2e-06,10.72951,1.911489
3800,joint,0.036266,7e-06,9.828142,1.87018
3900,joint,0.055822,1.6e-05,11.343754,1.827978
4000,joint,0.088504,6.2e-05,11.310334,1.963371
4100,joint,0.02107,2e-06,11.261049,1.91544
4200,joint,0.014628,0.0,9.982106,1.912851
4300,joint,0.012452,0.0,10.957417,1.912484
4400,joint,0.015067,0.0,11.236083,1.908306
4500,joint,0.048645,1.7e-05,11.431847,1.905482
4600,joint,0.020305,2e-06,10.180937,1.89417
4700,joint,0.068694,2.8e-05,12.281167,2.009539
4800,joint,0.069337,3.8e-05,12.277398,1.858152
4900,joint,0.031246,5e-06,10.473621,1.937863
5000,joint,0.082105,5e-05,10.865761,1.743719
5100,joint,0.071508,4e-05,11.226948,1.922797
5200,joint,0.026114,3e-06,11.41666,1.891991
5300,joint,0.047806,1.5e-05,10.273864,1.961811
5400,joint,0.037963,7e-06,11.294258,1.938016
5500,joint,0.02942,5e-06,11.4842,1.912372
5600,joint,0.028418,3e-06,11.15163,1.898442
5700,joint,0.043197,1.3e-05,11.332598,1.907265
5800,joint,0.053842,1.7e-05,11.626143,1.906632
5900,joint,0.048601,1.7e-05,12.226034,1.903482
6000,joint,0.028644,5e-06,9.79363,1.895633
6100,joint,0.021064,2e-06,11.449713,1.920637
6200,joint,0.017321,1e-06,10.898767,1.904479
6300,joint,0.028031,4e-06,10.374439,1.922099
6400,joint,0.026544,3e-06,11.085331,1.898495
6500,joint,0.029135,4e-06,12.138547,1.901276
6600,joint,0.093647,7.4e-05,13.253171,1.698132
6700,joint,0.192279,0.000356,12.236574,1.638538
6800,joint,0.135025,0.000185,11.015139,1.97207
6900,joint,0.044647,1.2e-05,10.945766,1.90763
7000,joint,0.019681,2e-06,11.578315,1.91086
7100,joint,0.018004,1e-06,10.796865,1.906662
7200,joint,0.013179,0.0,10.428198,1.902974
7300,joint,0.070736,3.6e-05,10.986067,1.923145
7400,joint,0.043918,1.1e-05,10.503871,1.925182
7500,joint,0.032431,3e-06,11.505166,1.907579
7600,joint,0.019938,1e-06,10.981551,1.799714
7700,joint,0.050474,2e-05,11.019751,1.932932
7800,joint,0.187041,0.00031,11.725676,1.502532
7900,joint,0.236431,0.000482,10.713964,1.783737
8000,joint,0.048197,1.7e-05,11.521334,1.898821
8100,joint,0.047308,1.5e-05,11.133928,1.835906
8200,joint,0.129694,0.000151,12.495207,1.90485
8300,joint,0.038757,1e-05,11.107052,1.909986
8400,joint,0.031306,6e-06,10.276653,1.901572
8500,joint,0.023745,3e-06,11.729879,1.902837
8600,joint,0.024855,3e-06,11.664402,1.90732
8700,joint,0.040813,1.1e-05,12.246922,1.897345
8800,joint,0.046982,1.4e-05,10.994936,1.917462
8900,joint,0.025045,3e-06,10.55395,1.90858
9000,joint,0.044388,5e-06,10.930992,1.91347
9100,joint,0.039294,7e-06,11.602092,1.843989
9200,joint,0.034726,6e-06,11.856193,1.917048
9300,joint,0.069878,4e-05,10.471934,1.957311
9400,joint,0.028665,4e-06,10.506422,1.901093
